Designator,Mid X,Mid Y,Rotation,Layer
C1,152.04,-80.97,270.0,top
C10,177.61,-89.88,0.0,top
C11,175.25,-96.74,90.0,top
C12,174.38,-96.735,90.0,top
C13,185.62,-91.325,90.0,top
C14,186.54,-91.345,90.0,top
C15,188.205,-75.49,0.0,top
C16,186.15,-75.61,90.0,top
C17,190.06,-74.49,90.0,top
C18,163.73,-87.29,270.0,top
C19,169.07,-87.355,270.0,top
C2,150.95,-80.97,270.0,top
C20,186.03,-79.46,0.0,top
C21,183.41,-83.59,90.0,top
C22,190.07,-71.4,90.0,top
C23,190.06,-72.93,270.0,top
C24,172.35,-96.74,90.0,top
C25,173.41,-96.76,90.0,top
C26,186.58,-89.805,90.0,top
C27,185.68,-89.815,90.0,top
C3,149.92,-80.94,270.0,top
C4,159.43,-79.075,90.0,top
C5,157.54,-80.21,270.0,top
C6,158.49,-80.24,270.0,top
C7,126.2,-72.28,180.0,top
C8,126.405,-74.9025,180.0,top
C9,177.3,-96.4,0.0,top
D1,160.76,-80.605,0.0,top
D2,127.45,-89.96,0.0,top
D3,124.635,-76.5125,0.0,top
F1,145.0125,-80.62,0.0,top
J1,127.5,-84.0,270.0,top
J11,169.19,-75.83,270.0,top
J12,158.51,-73.16,180.0,top
J13,146.02,-72.54,0.0,top
J2,132.1,-107.72,0.0,top
J3,150.5,-96.5,0.0,top
J4,150.64,-107.58,0.0,top
J5,183.5,-106.5,90.0,top
J6,169.38,-107.87,0.0,top
Q1,142.05,-79.52,180.0,top
R1,134.1675,-83.25,0.0,top
R2,134.3,-84.77,0.0,top
R3,134.27,-82.52,0.0,top
R4,134.3225,-85.79,0.0,top
R5,147.665,-80.62,0.0,top
R6,160.83,-79.435,0.0,top
R7,126.3325,-76.49,180.0,top
SW1,130.44,-96.67,0.0,top
SW2,165.76,-96.45,0.0,top
U1,155.07,-79.67,180.0,top
U2,133.735,-73.925,0.0,top
U3,176.5,-93.02,0.0,top
U4,183.82,-90.645,180.0,top
U5,187.39,-72.77,0.0,top
U6,166.3575,-87.78,180.0,top
U7,177.3625,-82.88,270.0,top
Y1,186.15,-83.51,90.0,top
